variety,country,province,winery,price,points,expert wine description
Grüner Veltliner,Austria,Weinviertel,R&A; Pfaffl,20.0,91.0,"A hint of passion fruit mingles with yeasty tones in this wine's aroma. The palate doles out savory, sage-like notes in a concentrated, textural frame. It finishes with a lemony, lip-smacking and refreshing fillip."
Gros Manseng,France,Southwest France,Domaine du Tariquet,20.0,91.0,"For this medium-sweet wine, the Grassa family has chosen one of the Southwest's great grape varieties. The Gros Manseng easily makes this style: fruity and with a fine balance between sweetness and crisp acidity. This is a young wine, named after the singing thrush (grive) in the vines. It's still developing and will be better from 2018."
Pinot Gris,US,Oregon,Soléna,20.0,91.0,"As classy a bottle as you might expect from veteran winemaker Laurent Montalieu. Once again the fruit is crystal clear, setting up fresh pear, green apple and pink grapefruit flavors against crisp, juicy acidity. The finish is lively and spicy."
Riesling,US,Oregon,Amity Vineyards,20.0,91.0,"Powerful scents mix dried herb, wet grass and petrol—it could be mistaken for Sauvignon Blanc in a blind tasting, and it has that much density and extract. The label says dry, and it is certainly that, much in the Australian style. Big, concentrated, high acid and quite cellarworthy."
Cabernet Franc,Argentina,Mendoza Province,Lamadrid,20.0,91.0,"Black cherry, dark plum and charred rubber give this a masculine opening. Generous and layered across the palate, this tastes of blackberry, chocolaty oak and spice. A lasting, tannic finish is loaded with oak and baking-spice flavors. Drink this ripe, delicious bruiser through 2021."
Portuguese White,Portugal,Dão,Fontes da Cunha,20.0,91.0,This wood-aged wine is rich and smooth with light toast blending with the yellow fruit and spice. Acidity gives the wine its freshness contrasting with the complex fruit and wood balance. Drink this fine wine from 2017.
Tempranillo,Spain,Northern Spain,Martín Berdugo,20.0,91.0,"After it oozes rubber and bacon on the nose, berry fruit and mild medicinal aromas settle in. Feels full, tight and structured, with meat, black cherry and wild berry flavors. Finishes warm, chocolaty and lightly roasted. Well-made, and impressive for the price."
Tokaji,Hungary,Tokaji,Royal Tokaji,20.0,91.0,"For $20, this bargain basement Tokaji is pretty unbelievable. Abundantly floral and honeyed on the nose, it's deeply concentrated on the palate, with layers of luscious figs and peaches, accented by lanolin and beeswax. Creamy and unctuous on the tongue, yet clean and fresh on the finish, with orange-inflected acidity that lingers."
Rosé,France,Rhône Valley,Château d'Aqueria,20.0,91.0,"Full-bodied, rich and slightly warm, this assertive Tavel boasts notes of raspberry, peach and melon. It's a bold, fruit-driven style that brightens on the finish, where crisp acids and a chalky feel add texture."
Chardonnay,South Africa,Elgin,Neil Ellis,20.0,91.0,"While Neil Ellis's winery is in Stellenbosch, he gets his Chardonnay for this wine from the cooler region of Elgin. It has sweet, almost tropical-fruit aromas, followed through with spicy, creamy, wood flavors and ripe, generous acidity. Despite its richness, it also has delicacy, as much in the finely judged use of wood as in the clean, elegant fruit."
Melon,France,Loire Valley,Domaine de la Pepière,20.0,91.0,"The light-gold color of this wine shows its maturity. It's a rich wine that is rounded, full and with a touch of honey. With its toasty character and full-bodied character, this is an impressive wine for drinking now."
Sauvignon Blanc,Chile,Casablanca Valley,Cono Sur,20.0,91.0,"Striking and sincere Sauvignon Blanc. One whiff, one taste and one swish across the palate and you'll know that this is elevated stuff. For starters, the bouquet delivers honest bell pepper, melon, passion fruit and apple aromas; and along with the fruit there's nuance, structure and balancing herbal notes. Full, long and regal. Drink now to capture this wine's powerful essence."
Sauvignon Blanc,US,Washington,Efeste,20.0,91.0,"This thoroughly delicious, acid-driven wine opens with aromas of passion fruit, oyster shell, herbs, wet stone and citrus. The flavors are sleek yet generous with electric, mouthwatering acidity. It demands oysters alongside it."
Tinta de Toro,Spain,Northern Spain,Muruve,20.0,91.0,"Meaty and full-bodied, with molasses, roasted blackberry and cola aromas. This is a fine example of affordable Toro; it's rich and balanced, not overripe or raisiny, with tannic grip, a chewy texture and lasting flavors of prune, blackberry and chocolate. Drink now through 2013."
Chardonnay,US,Oregon,Longplay,20.0,91.0,"Strongly flavored by the barrel fermentation and extended lees contact, this rich and textural Chardonnay opens with toasted coconut, banana cream pie, pear tart and other pastry-like delights. It is not fruit-deficient, however, and there is plenty of snappy acidity under all the goodies."
Pinot Gris,US,California,Landmark,20.0,91.0,"Sourced from the Hop Kiln Vineyard on Westside Road, this crisp, creamy white is seductive and balanced, a refreshing sip of white peach and almond. Aromatic in honeysuckle and orange blossom, it leaves a suggestion of exotic spice on the finish."
Riesling,Australia,South Australia,Penfolds,20.0,91.0,"Better known for its red wines, Penfolds has turned out a lovely Bin 51 Riesling in 2007. An alluring nose of orange sherbet and petrol leads into a medium-weight wine that manages to be both broad and mouthcoating and yet long and racy on the finish. May not be a long-lived Riesling by Aussie standards, but it should still drink well over the next 7-10 years."
Austrian Red Blend,Austria,Burgenland,Gunter Triebaumer,20.0,91.0,"A touch of roasted coffee clings to the nose, otherwise it wants to give little away. The taut palate barely shows the dark fruit, so tight is it with a fine-grained tannin structure. This is dense and sumptuous, but has ample freshness as a counterweight. It still needs to mellow and show its fruit. Drink 2018–2025."
Rhône-style White Blend,US,Oregon,Quady North,20.0,91.0,"Close to half Viognier, this is cofermented with Roussanne and Marsanne, then blended with 7% Grenache Blanc. A small portion of the Viognier was fermented in Acacia oak. Deep and rich flavors are packed with sliced pear, then range on through oranges and mixed citrus, adding a touch of vanilla in a fresh tangy lingering finish."
Zinfandel,US,California,Ghost Pines,20.0,91.0,"A bright, focused fruitiness is the strength of this full-bodied, very ripe and enticing wine. It smells and tastes like fresh strawberries, raspberries and cherries, and feels ultrasmooth and polished in texture. With each sip a better sense of depth and concentration builds."
Portuguese Red,Portugal,Douro,Real Companhia Velha,20.0,91.0,"Perfumed wine, with plum fruits, toast and a sweet, rich texture. It is dense, deep flavored, the fruit and tannins going right into the firm structure. Give this concentrated, bold wine at least 4–5 years."
Portuguese Red,Portugal,Beiras,Quinta de Foz de Arouce,20.0,91.0,"Dark-colored wine, a blend of Baga and Touriga Nacional, both of which lend their tannins to this still-young wine. It is dense with a firm, dry presence. The fruit is textured, structured, focused on weight and aging potential."
Furmint,Hungary,Tokaji,Disznókö,20.0,91.0,"Bartlett pear and freshly squeezed lime juice carry the nose, while flavors of green apple, pear and lime rind drive the crisp, elegant palate. The finish shows nuance, with a slightly astringent mouthfeel."
Portuguese Red,Portugal,Douro,Duorum,20.0,91.0,"Richly structured and ripe, this has black tannins laced with dark plum fruit. Its tannins promise aging while its fruit already offers a rounded taste. Keep for 3–4 years."
Malbec,Argentina,Mendoza Province,Finca Perdriel,20.0,91.0,"This is a cuddly, jammy, ripe Malbec with maple, blackberry and oak aromas. It feels weighty and lush, with large-scale boysenberry, blackberry and blueberry flavors. It turns a little soft and basic on the finish, but there's no griping about this wine's purity and fruit content."
Sparkling Blend,France,Alsace,Bestheim,20.0,91.0,"There is something lifted on the nose that translates as white currant and dried lemon peel on the palate. A distinct notion of autolysis provides a canvas for the fruity but restrained lemon notes. The fine mousse supports this beautiful balance, while the dry finish shines with lasting lemon flavors."
Glera,Italy,Veneto,Albino Armani,20.0,91.0,"Yeasty aromas of bread dough, toasted hazelnut, pressed wild flower and an earthy whiff of brimstone follow over to the crisp palate along with citrus and yellow apple. Made with grapes cultivated according to biodynamic farming practices and fermented with wild yeasts, it's a fascinating expression of Prosecco."
Pinot Gris,US,Oregon,The Four Graces,20.0,91.0,"Plump tree fruits carry the weight, with a dash of toast—though the winery notes say the fermentation was 100% stainless steel. It's delicious and ready to drink, now through 2018."
Port,Portugal,Port,Royal Oporto,20.0,91.0,"The texture of this wine is dense and concentrated while keeping the fresh fruit and acidity well in balance. It has ripe blackberry flavors that offer great fruitiness. The firm background of tannin structure is balanced by a juicy, fruity aftertaste. Drink now."
Pinot Blanc,France,Alsace,Boeckel,20.0,91.0,"Perfumed, red-cheeked apple and freshly baked bread unite into an enticing nose where fruit and autolysis are perfectly fused. The palate follows suit, with the fruit speaking more loudly, leading to an inviting and zesty autolytic finish."
Gamay,France,Beaujolais,Georges Duboeuf,20.0,91.0,"Rich and full in the mouth, this still-young wine also has a good structure. It is dark and dense, smoky over the red-berry fruits. Concentrated fruit and tannins give a solid base for the wine's ripe, aromatic character. Drink from 2017."
Rosé,France,Provence,Château Rimauresq,20.0,91.0,"This ripe, lively wine is bursting with red fruits. Crisp and clean, it features a light mineral character that gives it tight texture balanced by refreshing raspberry and orange flavors. The aftertaste shines with crisp acidity."
